Date,Open,High,Low,Close,Adj Close,Volume
2019-07-11,6424.628906,6434.908203,6397.222168,6417.065918,6417.065918,123096800
2019-07-12,6414.198242,6425.317871,6369.496094,6373.345215,6373.345215,132748400
2019-07-15,6408.308105,6439.192871,6405.450195,6418.233887,6418.233887,138330000
2019-07-16,6414.729004,6428.268066,6389.397949,6401.879883,6401.879883,120399800
2019-07-17,6395.463867,6403.500977,6377.502930,6394.608887,6394.608887,142137300
2019-07-18,6385.058105,6407.256836,6375.617188,6403.293945,6403.293945,150696400
2019-07-19,6417.442871,6456.539063,6417.442871,6456.539063,6456.539063,129678900
2019-07-22,6461.411133,6468.247070,6420.349121,6433.546875,6433.546875,125797900
2019-07-23,6443.710938,6454.088867,6396.674805,6403.810059,6403.810059,129238000
2019-07-24,6413.319824,6419.221191,6380.011230,6384.986816,6384.986816,149335200
2019-07-25,6392.388184,6412.714844,6386.291016,6401.365234,6401.365234,124582800
2019-07-26,6379.204102,6385.587891,6314.410156,6325.236816,6325.236816,122282900
2019-07-29,6336.845215,6349.367188,6283.602051,6299.035156,6299.035156,126988300
2019-07-30,6317.573242,6376.996094,6317.036133,6376.996094,6376.996094,127506100
2019-07-31,6362.108887,6390.504883,6348.997070,6390.504883,6390.504883,114214500
2019-08-01,6385.264160,6404.581055,6372.705078,6381.541992,6381.541992,107634100
2019-08-02,6341.123047,6353.110840,6317.270996,6340.180176,6340.180176,93321300
2019-08-05,6311.164063,6315.062988,6175.703125,6175.703125,6175.703125,122385300
2019-08-06,6105.090820,6157.762207,6022.599121,6119.471191,6119.471191,113648900
2019-08-07,6155.828125,6221.661133,6153.644043,6204.194824,6204.194824,115751900
2019-08-08,6224.897949,6281.100098,6224.897949,6274.670898,6274.670898,108941500
2019-08-09,6300.092773,6319.439941,6280.667969,6282.131836,6282.131836,102271800
2019-08-12,6300.672852,6309.102051,6245.276855,6250.595215,6250.595215,98246100
2019-08-13,6251.308105,6251.308105,6198.065918,6210.961914,6210.961914,106057400
2019-08-14,6255.509766,6274.575195,6240.204102,6267.334961,6267.334961,116897700
2019-08-15,6192.456055,6257.585938,6161.665039,6257.585938,6257.585938,118749900
2019-08-16,6264.379883,6292.375000,6235.701172,6286.657227,6286.657227,122425200
2019-08-19,6310.632813,6329.738770,6284.775879,6296.714844,6296.714844,107478400
2019-08-20,6311.907227,6317.690918,6279.564941,6295.737793,6295.737793,115615800
2019-08-21,6290.811035,6308.352051,6247.990234,6252.966797,6252.966797,97455300
2019-08-22,6257.556152,6265.957031,6210.537109,6239.245117,6239.245117,102340600
2019-08-23,6228.129883,6255.597168,6204.187988,6255.597168,6255.597168,104137900
2019-08-26,6193.230957,6230.314941,6149.020020,6214.509766,6214.509766,120581400
2019-08-27,6244.573242,6289.884766,6223.744141,6278.170898,6278.170898,117748900
2019-08-28,6289.650879,6306.329102,6267.194824,6281.645996,6281.645996,107048900
2019-08-29,6288.186035,6306.895996,6276.420898,6289.119141,6289.119141,111978400
2019-08-30,6316.119141,6329.883789,6305.037109,6328.470215,6328.470215,132856400
2019-09-02,6331.147949,6338.112793,6281.604980,6290.545898,6290.545898,126521700
2019-09-03,6293.361816,6310.630859,6248.796875,6261.589844,6261.589844,122848800
2019-09-04,6266.764160,6273.604004,6239.000977,6269.664063,6269.664063,111903900
2019-09-05,6294.283203,6307.348145,6281.954102,6306.803223,6306.803223,110321300
2019-09-06,6329.412109,6336.912109,6305.017090,6308.950195,6308.950195,114218400
2019-09-09,6328.282227,6333.896973,6306.735840,6326.212891,6326.212891,109132800
2019-09-10,6331.726074,6342.005859,6311.340820,6336.672852,6336.672852,113186400
2019-09-11,6334.591797,6381.954102,6328.687988,6381.954102,6381.954102,136654000
2019-09-12,6398.995117,6414.483887,6337.523926,6342.173828,6342.173828,111986600
2019-09-13,6369.422852,6375.804199,6318.919922,6334.842773,6334.842773,106712000
2019-09-16,6262.288086,6266.140137,6193.513184,6219.435059,6219.435059,102809600
2019-09-17,6215.236816,6240.348145,6205.301758,6236.689941,6236.689941,112446500
2019-09-18,6238.705078,6276.632813,6236.476074,6276.632813,6276.632813,108718500
2019-09-19,6274.178223,6282.062988,6242.893066,6244.470215,6244.470215,106914500
2019-09-20,6248.974121,6256.821777,6213.243164,6231.473145,6231.473145,134219300
2019-09-23,6240.144043,6247.577148,6197.388184,6206.199219,6206.199219,118747800
2019-09-24,6188.769043,6194.589844,6115.950195,6137.607910,6137.607910,90097100
2019-09-25,6121.490234,6146.403809,6086.001953,6146.403809,6146.403809,91732400
2019-09-26,6168.667969,6230.333984,6165.925781,6230.333984,6230.333984,105163800
2019-09-27,6213.932129,6219.770020,6191.664063,6196.889160,6196.889160,112420600
2019-09-30,6190.372070,6195.728027,6152.496094,6169.102051,6169.102051,93299700
2019-10-01,6163.979004,6176.605957,6134.770020,6138.250000,6138.250000,99171900
2019-10-02,6124.442871,6153.996094,6051.687988,6055.424805,6055.424805,116223100
2019-10-03,6033.026855,6050.604004,5997.691895,6038.528809,6038.528809,121133700
2019-10-04,6052.747070,6076.560059,6046.129883,6061.251953,6061.251953,111920200
2019-10-07,6077.740234,6084.165039,5988.872070,6000.582031,6000.582031,127549800
2019-10-08,6021.692871,6046.458008,6009.381836,6039.601074,6039.601074,124640500
2019-10-09,6030.458984,6047.792969,6017.359863,6029.160156,6029.160156,111759600
2019-10-10,6023.976074,6044.113770,6018.445801,6023.641113,6023.641113,89240100
2019-10-11,6033.321777,6109.118164,6033.321777,6105.799805,6105.799805,105411100
2019-10-14,6129.233887,6153.578125,6099.238770,6126.876953,6126.876953,118521000
2019-10-15,6130.299805,6158.166016,6118.262207,6158.166016,6158.166016,118739300
2019-10-16,6170.562012,6183.583984,6143.846191,6169.591797,6169.591797,114463100
2019-10-17,6169.903809,6197.935059,6161.392090,6181.014160,6181.014160,119164000
2019-10-18,6185.214844,6201.174805,6178.498047,6191.946777,6191.946777,125611600
2019-10-21,6207.889160,6228.227051,6187.360840,6198.986816,6198.986816,146413800
2019-10-22,6207.492188,6229.398926,6178.555176,6225.497070,6225.497070,114083500
2019-10-23,6224.417969,6257.806152,6197.954102,6257.806152,6257.806152,135886700
2019-10-24,6271.514160,6339.646973,6270.186035,6339.646973,6339.646973,130619300
2019-10-25,6342.608887,6348.314941,6243.246094,6252.345215,6252.345215,151346100
2019-10-28,6256.790039,6278.163086,6243.349121,6265.383789,6265.383789,145042900
2019-10-29,6267.680176,6281.138184,6245.937988,6281.138184,6281.138184,148492100
2019-10-30,6302.087891,6304.049805,6264.938965,6295.747070,6295.747070,139603200
2019-10-31,6290.566895,6301.592773,6216.290039,6228.316895,6228.316895,163955700
2019-11-01,6225.814941,6228.411133,6193.887207,6207.190918,6207.190918,142104600
2019-11-04,6219.126953,6242.083984,6180.344238,6180.344238,6180.344238,103975100
2019-11-05,6204.438965,6264.151855,6195.304199,6264.151855,6264.151855,95988100
2019-11-06,6273.917969,6274.291992,6198.496094,6217.544922,6217.544922,70278100
2019-11-07,6234.604004,6235.638184,6119.420898,6165.624023,6165.624023,67284200
2019-11-08,6165.766113,6180.199219,6139.823242,6177.985840,6177.985840,60698400
2019-11-11,6171.437012,6182.815918,6127.876953,6148.740234,6148.740234,47286600
2019-11-12,6135.493164,6180.992188,6133.534180,6180.992188,6180.992188,57719100
2019-11-13,6177.660156,6183.827148,6132.252930,6142.500977,6142.500977,51900400
2019-11-14,6137.535156,6146.397949,6062.979980,6098.950195,6098.950195,72169800
2019-11-15,6115.758789,6137.355957,6092.616211,6128.345215,6128.345215,46157800
2019-11-18,6126.413086,6134.314941,6098.081055,6122.625000,6122.625000,47079600
2019-11-19,6136.937012,6152.089844,6113.333008,6152.089844,6152.089844,51414200
2019-11-20,6136.252930,6167.411133,6123.584961,6155.108887,6155.108887,51663000
2019-11-21,6135.764160,6137.270996,6099.567871,6117.363770,6117.363770,50800300
2019-11-22,6115.791016,6122.480957,6086.827148,6100.242188,6100.242188,51362000
2019-11-25,6094.748047,6105.097168,6052.265137,6070.762207,6070.762207,48496000
2019-11-26,6091.237793,6096.661133,6026.187988,6026.187988,6026.187988,81161800
2019-11-27,6025.940918,6052.492188,6002.987793,6023.039063,6023.039063,57364300
2019-11-28,6013.270996,6036.828125,5945.750000,5953.060059,5953.060059,51713900
2019-11-29,5949.883789,6015.699219,5939.403809,6011.830078,6011.830078,51024700
2019-12-02,6023.611816,6130.055176,6023.009766,6130.055176,6130.055176,52565500
2019-12-03,6119.901855,6148.366211,6107.642090,6133.895996,6133.895996,52634500
2019-12-04,6121.333008,6127.977051,6095.306152,6112.878906,6112.878906,50339400
2019-12-05,6132.039063,6157.931152,6131.588867,6152.117188,6152.117188,52261600
2019-12-06,6160.783203,6186.868164,6145.119141,6186.868164,6186.868164,49098600
2019-12-09,6194.082031,6210.778809,6180.836914,6193.791016,6193.791016,54834500
2019-12-10,6186.752930,6205.133789,6179.518066,6183.504883,6183.504883,51058500
2019-12-11,6190.577148,6204.604004,6171.926758,6180.099121,6180.099121,49556800
2019-12-12,6185.417969,6201.023926,6139.396973,6139.396973,6139.396973,51845400
2019-12-13,6181.055176,6197.317871,6167.640137,6197.317871,6197.317871,48546800
2019-12-16,6197.313965,6237.916016,6197.313965,6211.591797,6211.591797,55299700
2019-12-17,6223.442871,6244.352051,6205.627930,6244.352051,6244.352051,53264500
2019-12-18,6287.250000,6287.250000,6287.250000,6287.250000,6287.250000,0
2019-12-19,6274.388184,6281.416016,6235.844238,6249.930176,6249.930176,47624800
2019-12-20,6257.160156,6284.372070,6231.465820,6284.372070,6284.372070,52766200
2019-12-23,6309.670898,6315.721191,6270.539063,6305.910156,6305.910156,39077900
2019-12-26,6303.059082,6326.268066,6303.059082,6319.442871,6319.442871,33608900
2019-12-27,6321.568848,6337.335938,6312.380859,6329.313965,6329.313965,42100200
2019-12-30,6329.134766,6336.919922,6289.546875,6299.539063,6299.539063,47557400
2020-01-02,6313.127930,6317.013184,6263.675781,6283.581055,6283.581055,33043700
2020-01-03,6306.187012,6323.465820,6287.706055,6323.465820,6323.465820,44625300
2020-01-06,6293.499023,6300.436035,6252.634766,6257.402832,6257.402832,41421300
2020-01-07,6272.220215,6284.892090,6246.128906,6279.346191,6279.346191,39441600
2020-01-08,6248.442871,6250.122070,6218.129883,6225.686035,6225.686035,44622600
2020-01-09,6248.661133,6274.493164,6238.982910,6274.493164,6274.493164,41868400
2020-01-10,6287.166992,6295.370117,6271.979980,6274.940918,6274.940918,52213500
2020-01-13,6287.912109,6297.775879,6269.480957,6296.566895,6296.566895,44003800
2020-01-14,6308.890137,6325.405762,6298.607910,6325.405762,6325.405762,44467400
2020-01-15,6326.166016,6348.525879,6255.498047,6283.365234,6283.365234,51089200
2020-01-16,6275.956055,6299.541016,6255.493164,6286.047852,6286.047852,42118300
2020-01-17,6293.782227,6301.484863,6266.932129,6291.657227,6291.657227,37597900
2020-01-20,6310.500977,6312.988770,6240.189941,6245.042969,6245.042969,38818200
2020-01-21,6251.997070,6257.884766,6226.063965,6238.152832,6238.152832,41929600
2020-01-22,6241.575195,6265.514160,6223.189941,6233.453125,6233.453125,51077800
2020-01-23,6243.998047,6255.042969,6229.130859,6249.209961,6249.209961,41256500
2020-01-24,6242.834961,6258.851074,6234.825195,6244.108887,6244.108887,38828900
2020-01-27,6240.817871,6242.176758,6130.928223,6133.208008,6133.208008,43723000
2020-01-28,6111.184082,6111.184082,6111.184082,6111.184082,6111.184082,0
2020-01-29,6123.095215,6152.588867,6102.795898,6113.044922,6113.044922,34605300
2020-01-30,6057.596191,6057.596191,6057.596191,6057.596191,6057.596191,0
2020-01-31,6076.458984,6078.930176,5937.021973,5940.047852,5940.047852,41508700
2020-02-03,5920.967773,5942.782227,5877.201172,5884.169922,5884.169922,34951000
2020-02-04,5947.506836,5952.946777,5911.375000,5922.338867,5922.338867,36217700
2020-02-05,5955.519043,5978.509766,5924.374023,5978.509766,5978.509766,39786600
2020-02-06,5987.145020,5987.145020,5987.145020,5987.145020,5987.145020,0
2020-02-07,5988.058105,6004.812012,5981.644043,5999.606934,5999.606934,35281700
2020-02-10,5993.376953,5996.465820,5937.380859,5952.083008,5952.083008,34305400
2020-02-11,5954.396973,5954.396973,5954.396973,5954.396973,5954.396973,0
2020-02-12,5957.060059,5962.347168,5895.724121,5913.081055,5913.081055,29256800
2020-02-13,5921.912109,5929.499023,5860.254883,5871.954102,5871.954102,33248200
2020-02-14,5857.721191,5890.028809,5843.432129,5866.944824,5866.944824,27655200
2020-02-17,5863.914063,5878.463867,5853.598145,5867.522949,5867.522949,28723300
2020-02-18,5856.880859,5907.139160,5855.924805,5886.961914,5886.961914,34641400
2020-02-19,5898.899902,5928.791016,5898.701172,5928.791016,5928.791016,34517800
2020-02-20,5941.450195,5960.712891,5929.145020,5942.486816,5942.486816,37350100
2020-02-21,5940.785156,5944.205078,5873.731934,5882.254883,5882.254883,36665400
2020-02-24,5846.145996,5863.124023,5787.919922,5807.049805,5807.049805,40039600
2020-02-25,5784.736816,5814.679199,5752.334961,5787.138184,5787.138184,39502600
2020-02-26,5757.166992,5757.740234,5688.920898,5688.920898,5688.920898,39521300
2020-02-27,5680.437012,5684.286133,5526.816895,5535.693848,5535.693848,41308700
2020-02-28,5436.171875,5456.275879,5288.370117,5452.704102,5452.704102,49636800
2020-03-02,5455.045898,5491.134766,5354.620117,5361.246094,5361.246094,40235000
2020-03-03,5431.295898,5545.773926,5431.295898,5518.627930,5518.627930,42974300
2020-03-04,5524.094238,5651.854980,5516.805176,5650.136230,5650.136230,45255400
2020-03-05,5688.778809,5715.940918,5613.719238,5638.129883,5638.129883,40684000
2020-03-06,5575.565918,5577.801758,5498.540039,5498.540039,5498.540039,32430900
