Date,Open,High,Low,Close,Adj Close,Volume
2019-03-08,6439.840820,6442.204102,6381.730957,6383.067871,6383.067871,92588600
2019-03-11,6418.882813,6420.782227,6366.039063,6366.434082,6366.434082,97316700
2019-03-12,6395.880859,6404.430176,6339.967773,6353.773926,6353.773926,84514000
2019-03-13,6343.121094,6377.575195,6337.874023,6377.575195,6377.575195,100029400
2019-03-14,6374.916992,6413.266113,6372.964844,6413.266113,6413.266113,96692700
2019-03-15,6420.182129,6489.194824,6419.644043,6461.183105,6461.183105,122938800
2019-03-18,6481.592773,6509.446777,6477.288086,6509.446777,6509.446777,105004500
2019-03-19,6515.561035,6522.205078,6473.286133,6480.275879,6480.275879,113972800
2019-03-20,6486.882813,6498.425781,6463.943848,6482.709961,6482.709961,106335600
2019-03-21,6499.271973,6515.971191,6484.312988,6501.775879,6501.775879,120956200
2019-03-22,6510.852051,6525.273926,6491.904785,6525.273926,6525.273926,129537900
2019-03-25,6473.855957,6474.647949,6391.519043,6411.250977,6411.250977,105721300
2019-03-26,6440.916016,6478.047852,6439.582031,6469.999023,6469.999023,85932800
2019-03-27,6480.557129,6485.425781,6443.974121,6444.737793,6444.737793,90444600
2019-03-28,6460.486816,6480.788086,6445.358887,6480.788086,6480.788086,92075400
2019-03-29,6480.982910,6485.958984,6440.916992,6468.754883,6468.754883,102927100
2019-04-01,6485.721191,6492.911133,6444.844238,6452.610840,6452.610840,93229400
2019-04-02,6476.623047,6490.073242,6454.983887,6476.065918,6476.065918,97657900
2019-04-03,null,null,null,null,null,null
2019-04-04,6489.785156,6505.798828,6480.075195,6494.629883,6494.629883,115935300
2019-04-05,6501.099121,6506.800781,6473.955078,6474.018066,6474.018066,104044400
2019-04-08,6480.184082,6484.147949,6390.709961,6425.733887,6425.733887,104784600
2019-04-09,6434.618164,6484.390137,6429.535156,6484.348145,6484.348145,103220100
2019-04-10,6476.779785,6487.755859,6456.666016,6478.326172,6478.326172,85785100
2019-04-11,6468.255859,6472.729980,6410.166016,6410.166016,6410.166016,98465700
2019-04-12,6395.073242,6422.271973,6394.914063,6405.866211,6405.866211,115690900
2019-04-15,6426.904785,6442.034180,6415.115234,6435.150879,6435.150879,89372600
2019-04-16,6440.721191,6485.121094,6438.396973,6481.541016,6481.541016,113905400
2019-04-17,null,null,null,null,null,null
2019-04-18,6568.845215,6636.332031,6487.227051,6507.221191,6507.221191,112896400
2019-04-19,null,null,null,null,null,null
2019-04-22,6511.085938,6516.242188,6410.039063,6414.743164,6414.743164,94956300
2019-04-23,6420.163086,6482.818848,6415.455078,6462.821777,6462.821777,105904400
2019-04-24,6460.265137,6472.527832,6433.972168,6447.884766,6447.884766,95981100
2019-04-25,6423.837891,6431.591797,6353.283203,6372.787109,6372.787109,95830800
2019-04-26,6349.923828,6401.080078,6321.660156,6401.080078,6401.080078,84764000
2019-04-29,6388.381836,6428.344238,6376.705078,6425.895020,6425.895020,87784100
2019-04-30,6437.975098,6457.821777,6428.251953,6455.352051,6455.352051,94646800
2019-05-01,null,null,null,null,null,null
2019-05-02,6458.121094,6465.772949,6363.040039,6374.421875,6374.421875,105193000
2019-05-03,6366.750000,6367.620117,6261.250000,6319.458984,6319.458984,93047100
2019-05-06,6254.811035,6263.086914,6207.623047,6256.352051,6256.352051,76667800
2019-05-07,6271.961914,6310.939941,6268.319824,6297.317871,6297.317871,99893700
2019-05-08,6260.696777,6270.883789,6231.362793,6270.202148,6270.202148,92019200
2019-05-09,6242.180176,6259.626953,6195.386230,6198.804199,6198.804199,92161300
2019-05-10,6203.103027,6232.664063,6149.220215,6209.118164,6209.118164,83315100
2019-05-13,6225.395020,6238.262207,6135.395996,6135.395996,6135.395996,73081800
2019-05-14,6081.401855,6101.089844,6033.618164,6071.202148,6071.202148,102612300
2019-05-15,6091.643066,6107.439941,5980.884766,5980.884766,5980.884766,90189500
2019-05-16,5969.855957,6009.627930,5889.555176,5895.737793,5895.737793,90700800
2019-05-17,5930.269043,5936.970215,5826.868164,5826.868164,5826.868164,88536300
2019-05-20,5822.474121,5930.154785,5767.400879,5907.121094,5907.121094,88516800
2019-05-21,5925.416016,5996.540039,5925.416016,5951.372070,5951.372070,88868800
2019-05-22,5948.382813,5966.797852,5918.899902,5939.636230,5939.636230,73752300
2019-05-23,5944.032227,6044.571777,5942.171875,6032.695801,6032.695801,80007700
2019-05-24,6042.575195,6080.191895,6037.080078,6057.353027,6057.353027,94909100
2019-05-27,6056.414063,6114.530762,6054.768066,6098.974121,6098.974121,79120000
2019-05-28,6101.842773,6118.905762,6033.142090,6033.142090,6033.142090,107550600
2019-05-29,6059.530762,6112.431152,6054.570801,6104.105957,6104.105957,79068400
2019-05-30,null,null,null,null,null,null
2019-05-31,6110.520020,6209.117188,6110.478027,6209.117188,6209.117188,94994300
2019-06-03,null,null,null,null,null,null
2019-06-04,null,null,null,null,null,null
2019-06-05,null,null,null,null,null,null
2019-06-06,null,null,null,null,null,null
2019-06-07,null,null,null,null,null,null
2019-06-10,6277.292969,6334.645020,6276.279785,6289.609863,6289.609863,94734500
2019-06-11,6286.799805,6310.000000,6255.264160,6305.992188,6305.992188,86434200
2019-06-12,6270.352051,6296.817871,6257.438965,6276.176758,6276.176758,90308800
2019-06-13,6282.607910,6284.458008,6250.117188,6273.082031,6273.082031,95630400
2019-06-14,6278.025879,6294.648926,6234.985840,6250.265137,6250.265137,86134100
2019-06-17,6259.535156,6263.499023,6190.524902,6190.524902,6190.524902,94608600
2019-06-18,6195.133789,6257.330078,6195.133789,6257.330078,6257.330078,94426600
2019-06-19,6289.452148,6339.262207,6289.452148,6339.262207,6339.262207,104524400
2019-06-20,6346.013184,6357.459961,6311.251953,6335.698242,6335.698242,93519900
2019-06-21,6343.481934,6352.528809,6269.690918,6315.436035,6315.436035,111701800
2019-06-24,6307.926758,6320.535156,6280.222168,6288.464844,6288.464844,113990600
2019-06-25,6312.101074,6327.981934,6308.002930,6320.444824,6320.444824,104114600
2019-06-26,6323.811035,6334.179199,6303.349121,6310.488770,6310.488770,117335500
2019-06-27,6324.692871,6357.928223,6320.089844,6352.709961,6352.709961,99586800
2019-06-28,6367.018066,6377.350098,6351.505859,6358.628906,6358.628906,106200900
2019-07-01,6381.181152,6395.625977,6369.192871,6379.687988,6379.687988,128295500
2019-07-02,6388.222168,6394.454102,6365.372070,6384.897949,6384.897949,128839600
2019-07-03,6362.958008,6385.373047,6334.748047,6362.622070,6362.622070,115118100
2019-07-04,6364.067871,6385.128906,6359.415039,6375.966797,6375.966797,138923400
2019-07-05,6373.317871,6386.644043,6362.924805,6373.477051,6373.477051,132400300
2019-07-08,6360.213867,6367.361816,6324.721191,6351.827148,6351.827148,106782100
2019-07-09,6351.484863,6388.323242,6351.422852,6388.323242,6388.323242,120669200
2019-07-10,6393.189941,6412.824219,6393.189941,6410.683105,6410.683105,116571800
