Date,Open,High,Low,Close,Adj Close,Volume,Used
2018-12-28,6200.296875,6212.125000,6176.630859,6194.498047,6194.498047,69954900,1
2018-12-29,,,,,,,0
2018-12-30,,,,,,,0
2018-12-31,,,,,,,0
2019-01-01,,,,,,,0
2019-01-02,6197.871094,6205.895020,6164.833984,6181.174805,6181.174805,52797800,1
2019-01-03,6176.151855,6221.009766,6176.151855,6221.009766,6221.009766,72166700,1
2019-01-04,6211.096191,6274.540039,6200.854004,6274.540039,6274.540039,80858100,1
2019-01-05,,,,,,,0
2019-01-06,,,,,,,0
2019-01-07,6317.625977,6354.757813,6287.224121,6287.224121,6287.224121,90278300,1
2019-01-08,6292.263184,6316.240234,6251.375977,6262.847168,6262.847168,90537400,1
2019-01-09,6296.115234,6311.579102,6265.326172,6272.237793,6272.237793,105604200,1
2019-01-10,6293.958008,6328.713867,6268.507813,6328.713867,6328.713867,122462300,1
2019-01-11,6347.973145,6361.464844,6337.547852,6361.464844,6361.464844,78112000,1
2019-01-12,,,,,,,0
2019-01-13,,,,,,,0
2019-01-14,6351.329102,6359.875000,6302.395996,6336.116211,6336.116211,79731000,1
2019-01-15,6347.101074,6408.784180,6333.644043,6408.784180,6408.784180,95139900,1
2019-01-16,6417.130859,6425.940918,6385.589844,6413.359863,6413.359863,104252800,1
2019-01-17,6421.407227,6457.734863,6410.950195,6423.779785,6423.779785,99214400,1
2019-01-18,6444.212891,6452.558105,6409.095215,6448.155762,6448.155762,80004400,1
2019-01-19,,,,,,,0
2019-01-20,,,,,,,0
2019-01-21,6448.536133,6472.149902,6438.900879,6450.833984,6450.833984,101769000,1
2019-01-22,6452.604004,6468.562012,6416.592773,6468.562012,6468.562012,100776200,1
2019-01-23,6452.905762,6484.195801,6449.919922,6451.169922,6451.169922,109468500,1
2019-01-24,6451.256836,6478.883789,6446.582031,6466.654785,6466.654785,120391000,1
2019-01-25,6474.159180,6498.333984,6470.123047,6482.842773,6482.842773,92035400,1
2019-01-26,,,,,,,0
2019-01-27,,,,,,,0
2019-01-28,6488.901855,6501.085938,6433.819824,6458.711914,6458.711914,95548600,1
2019-01-29,6454.473145,6485.247070,6428.470215,6436.479980,6436.479980,73064200,1
2019-01-30,6445.409180,6464.926758,6435.417969,6464.188965,6464.188965,78683300,1
